carat,cut,color,clarity,depth,table,x,y,z,price
1.59,Very Good,I,SI2,61.9,58.0,7.46,7.5,4.63,7345
1.47,Ideal,I,VS2,62.3,57.0,7.24,7.3,4.53,7284
1.02,Premium,H,SI1,58.3,59.0,6.68,6.59,3.87,4819
0.9,Ideal,G,SI1,61.6,58.0,6.16,6.21,3.81,4008
0.51,Very Good,E,VS1,61.6,59.0,5.1,5.12,3.15,1778
0.78,Ideal,G,SI1,61.0,57.0,5.94,5.99,3.64,2496
1.21,Premium,G,SI2,62.7,59.0,6.74,6.66,4.2,5405
0.43,Premium,I,IF,61.2,58.0,4.83,4.88,2.97,1056
0.23,Good,F,VVS1,60.3,66.0,3.93,3.96,2.38,472
0.25,Very Good,F,VVS2,62.0,59.0,3.99,4.04,2.49,576
0.7,Ideal,F,SI2,62.6,53.0,5.72,5.69,3.57,2011
0.55,Ideal,H,IF,61.7,55.0,5.27,5.29,3.26,2133
0.73,Ideal,D,VS1,61.9,55.0,5.78,5.81,3.59,4258
0.33,Ideal,H,VVS1,61.6,55.0,4.45,4.48,2.75,730
1.0,Good,D,SI2,64.3,53.0,6.34,6.29,4.06,3965
1.0,Good,F,SI1,64.0,57.0,6.33,6.29,4.04,4452
2.22,Ideal,I,SI2,62.7,61.0,8.31,8.23,5.19,14416
0.8,Very Good,F,VS1,63.8,55.0,5.84,5.89,3.74,3603
1.04,Premium,G,VS2,60.0,58.0,6.62,6.54,3.95,6122
1.5,Premium,F,SI1,62.9,59.0,7.34,7.29,4.6,11878
1.66,Good,G,VS2,63.2,56.0,7.49,7.61,4.77,15091
0.7,Fair,F,SI1,64.8,60.0,5.57,5.54,3.6,2167
0.71,Very Good,F,VS1,61.8,60.0,5.66,5.7,3.51,3017
1.02,Premium,F,VVS2,60.9,59.0,6.56,6.44,3.96,8774
2.3,Ideal,I,SI2,61.8,57.0,8.48,8.45,5.23,16329
0.31,Ideal,H,VVS1,61.2,58.0,4.35,4.38,2.67,671
0.7,Ideal,D,SI2,62.1,56.0,5.67,5.71,3.53,2575
1.0,Good,H,SI1,61.0,61.0,6.36,6.42,3.9,4510
0.38,Very Good,E,VVS2,61.8,56.0,4.66,4.68,2.88,1000
0.24,Very Good,F,VVS1,61.7,56.0,3.98,4.0,2.46,485
1.22,Premium,E,SI2,61.5,58.0,6.86,6.84,4.21,6121
0.31,Very Good,F,SI2,63.0,58.0,4.34,4.36,2.74,408
1.02,Very Good,E,VS2,58.4,57.0,6.59,6.64,3.86,6732
0.26,Very Good,G,VVS1,61.4,56.0,4.13,4.15,2.54,545
0.32,Ideal,F,SI2,62.6,56.0,4.41,4.37,2.75,540
1.18,Premium,F,VS1,60.7,55.0,6.87,6.8,4.15,9648
1.0,Very Good,F,SI1,60.3,61.0,6.38,6.43,3.86,4620
0.71,Premium,D,SI1,58.1,61.0,5.81,5.79,3.37,2249
0.97,Premium,F,VVS2,58.1,60.0,6.53,6.49,3.78,6768
1.01,Ideal,F,SI2,62.1,55.0,6.42,6.47,4.0,4458
0.38,Ideal,F,SI1,60.9,55.0,4.7,4.72,2.87,844
0.4,Premium,E,SI1,62.8,59.0,4.7,4.67,2.94,907
1.0,Premium,E,VVS1,60.3,54.0,6.59,6.47,3.94,10134
1.16,Ideal,E,SI2,59.9,57.0,6.8,6.82,4.08,5001
0.58,Ideal,I,VVS1,62.3,53.0,5.38,5.4,3.36,1580
0.4,Premium,F,VS1,62.5,59.0,4.69,4.66,2.92,1050
0.38,Ideal,E,VVS2,61.6,55.0,4.66,4.63,2.86,1176
0.53,Very Good,I,VS1,59.9,58.0,5.24,5.28,3.15,1350
0.35,Premium,H,SI1,61.3,55.0,4.58,4.55,2.8,647
0.35,Ideal,G,VS1,61.9,55.0,4.53,4.52,2.8,906
0.43,Very Good,G,SI1,60.4,58.0,4.87,4.9,2.95,754
0.32,Ideal,D,SI2,62.4,54.0,4.38,4.4,2.74,477
0.5,Very Good,D,SI2,63.2,56.0,5.05,5.01,3.18,1243
1.21,Premium,H,SI2,61.9,55.0,6.84,6.79,4.22,5218
0.32,Ideal,G,SI1,61.5,55.0,4.4,4.44,2.72,647
2.01,Very Good,H,SI2,63.4,58.0,8.01,7.94,5.06,12617
1.5,Fair,F,VS2,65.3,57.0,7.15,7.12,4.66,13853
1.07,Premium,H,SI2,62.2,59.0,6.53,6.47,4.04,4194
0.5,Good,F,VS1,58.0,61.0,5.18,5.23,3.02,1415
2.01,Premium,I,VS2,60.5,60.0,8.15,8.17,4.94,16626
2.21,Premium,H,SI2,61.3,60.0,8.35,8.33,5.11,14032
0.74,Premium,H,SI1,60.9,60.0,5.81,5.75,3.52,2201
1.33,Premium,I,VS2,62.5,61.0,7.02,6.99,4.38,6316
0.62,Ideal,D,VS1,61.9,57.0,5.47,5.55,3.41,2508
1.0,Good,G,SI1,62.5,65.0,6.24,6.31,3.92,4528
1.51,Premium,I,SI2,62.6,59.0,7.28,7.31,4.57,7162
0.34,Ideal,H,VS1,62.2,55.0,4.47,4.49,2.79,620
0.7,Very Good,F,SI1,61.1,57.0,5.7,5.73,3.49,2409
0.71,Ideal,F,VS1,62.6,57.0,5.7,5.73,3.58,3199
0.33,Ideal,G,VVS1,61.7,56.0,4.47,4.45,2.75,1114
2.02,Ideal,G,SI2,61.7,57.0,8.15,8.1,5.01,17265
0.52,Ideal,F,SI1,61.8,55.0,5.19,5.15,3.2,1624
0.33,Ideal,F,IF,61.5,55.0,4.44,4.47,2.74,1042
2.02,Very Good,H,SI2,63.1,54.0,8.09,7.99,5.07,13655
0.32,Premium,D,SI1,60.9,60.0,4.39,4.41,2.68,589
0.31,Very Good,I,VS2,60.7,61.0,4.32,4.34,2.63,435
0.7,Good,F,SI2,64.1,58.0,5.58,5.53,3.56,1792
0.57,Premium,D,VS2,60.8,59.0,5.38,5.34,3.26,2019
0.76,Ideal,F,SI1,62.6,56.0,5.82,5.88,3.66,2719
0.66,Ideal,G,VVS1,61.5,56.0,5.61,5.58,3.44,2890
0.79,Very Good,D,VS1,58.8,60.0,6.03,6.08,3.56,3798
0.35,Ideal,D,VVS2,61.6,56.0,4.55,4.57,2.81,882
0.51,Premium,H,SI1,61.9,56.0,5.13,5.12,3.17,1116
1.53,Premium,J,VS1,60.1,59.0,7.51,7.47,4.5,8205
1.0,Very Good,F,VVS2,61.4,58.0,6.36,6.41,3.92,8216
0.7,Ideal,H,SI1,61.5,55.0,5.73,5.79,3.54,2815
0.43,Ideal,H,SI1,61.6,55.0,4.87,4.9,3.01,716
0.31,Very Good,G,VVS1,62.8,53.0,4.34,4.36,2.73,816
1.14,Ideal,H,VVS2,61.9,56.0,6.69,6.72,4.15,7354
0.55,Very Good,D,SI2,63.3,56.0,5.22,5.24,3.31,1295
1.02,Premium,H,SI2,59.8,59.0,6.5,6.54,3.9,4207
1.0,Very Good,F,VS1,62.9,56.0,6.38,6.43,4.03,6468
0.91,Ideal,D,SI1,60.6,56.0,6.27,6.3,3.81,5717
0.94,Premium,D,VS1,62.3,58.0,6.34,6.28,3.93,5980
1.09,Premium,F,VS1,60.9,58.0,6.67,6.63,4.05,8204
0.7,Ideal,D,VS2,61.2,57.0,5.69,5.75,3.5,3788
0.5,Very Good,H,VS1,61.6,57.0,5.11,5.13,3.15,1598
2.03,Ideal,I,VS2,62.7,57.0,8.05,8.02,5.04,16945
0.76,Ideal,I,IF,61.6,55.0,5.92,5.89,3.64,2988
1.51,Premium,J,SI1,59.9,60.0,7.46,7.41,4.45,7822
1.53,Premium,G,SI2,58.5,59.0,7.52,7.49,4.39,6788
0.34,Ideal,E,VS1,62.2,54.2,4.44,4.47,2.78,816
1.5,Very Good,E,SI2,63.1,57.0,7.32,7.27,4.6,8820
0.31,Ideal,G,VS1,61.4,56.0,4.36,4.37,2.68,625
1.75,Very Good,D,SI1,61.4,60.0,7.76,7.8,4.78,15544
0.4,Ideal,D,SI1,60.8,57.0,4.81,4.77,2.91,990
0.33,Ideal,G,VS1,62.1,54.0,4.47,4.45,2.77,854
1.22,Ideal,H,VS2,61.4,57.0,6.89,6.85,4.22,6947
0.5,Premium,D,VS2,61.4,59.0,5.15,5.11,3.15,1845
0.7,Ideal,E,SI2,61.9,57.0,5.66,5.69,3.51,2398
0.44,Ideal,H,SI2,62.3,54.0,4.89,4.93,3.06,654
0.32,Ideal,F,IF,60.3,58.0,4.45,4.5,2.7,929
0.67,Good,I,VS2,60.7,61.4,5.6,5.64,3.41,1708
0.9,Very Good,H,VS2,62.3,59.0,6.13,6.17,3.83,4588
1.43,Very Good,D,SI1,63.5,56.0,7.24,7.09,4.55,9450
0.33,Premium,D,VVS1,61.8,58.0,4.43,4.4,2.73,1207
1.25,Premium,H,VS2,60.4,59.0,6.96,6.92,4.19,7378
1.01,Fair,E,SI2,57.9,57.0,6.51,6.55,3.78,3916
1.2,Very Good,J,SI2,61.4,55.0,6.85,6.92,4.23,4636
2.01,Ideal,H,SI1,62.8,54.0,8.03,8.08,5.05,18186
1.51,Very Good,I,VS1,61.1,61.0,7.32,7.37,4.49,10215
0.43,Very Good,F,SI1,61.6,59.0,4.83,4.87,2.99,792
0.31,Ideal,G,VS2,61.6,55.0,4.39,4.37,2.7,698
1.04,Ideal,G,IF,62.1,54.0,6.53,6.55,4.06,8921
0.57,Ideal,F,VS2,61.3,57.0,5.35,5.39,3.29,1612
0.33,Very Good,H,VVS2,61.9,55.0,4.44,4.46,2.75,614
0.26,Ideal,E,VVS2,62.5,55.0,4.07,4.09,2.55,564
0.7,Premium,H,SI2,62.9,61.0,5.57,5.53,3.49,1942
0.7,Premium,D,SI1,62.6,58.0,5.67,5.6,3.53,2550
1.05,Very Good,F,VS2,62.8,57.0,6.45,6.48,4.06,6808
0.28,Very Good,E,VS1,63.1,55.0,4.18,4.15,2.63,588
1.0,Premium,H,SI2,61.0,57.0,6.51,6.4,3.94,4032
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,719
1.13,Ideal,D,VS1,61.2,57.0,6.7,6.72,4.1,11477
0.31,Premium,E,VS2,61.8,59.0,4.37,4.3,2.68,872
0.31,Premium,D,VS1,59.6,58.0,4.38,4.41,2.62,683
0.31,Ideal,F,IF,62.0,55.0,4.37,4.41,2.72,901
1.21,Very Good,G,SI2,59.6,60.0,6.92,6.94,4.13,5556
1.52,Very Good,G,VS2,63.3,57.0,7.32,7.27,4.62,11338
0.32,Very Good,H,VS2,63.0,57.0,4.35,4.38,2.75,505
0.8,Ideal,G,VS2,61.2,57.0,6.02,6.07,3.7,2969
0.5,Premium,F,VS2,61.8,58.0,5.1,5.06,3.14,1654
0.42,Ideal,E,VS1,60.6,57.0,4.84,4.86,2.94,1177
0.33,Ideal,G,VS2,62.0,57.0,4.47,4.44,2.76,743
0.4,Ideal,D,SI1,59.6,57.0,4.82,4.77,2.86,990
0.51,Ideal,D,SI2,60.9,56.0,5.18,5.2,3.16,1383
0.72,Very Good,G,SI2,60.6,57.0,5.79,5.86,3.53,2114
1.2,Very Good,H,I1,58.6,57.0,6.96,7.01,4.09,3696
0.32,Very Good,F,VS1,62.2,55.0,4.37,4.39,2.72,616
0.32,Good,F,SI2,63.1,56.0,4.34,4.38,2.75,421
0.6,Premium,F,SI1,62.9,59.0,5.39,5.31,3.37,1323
0.33,Ideal,G,VS1,62.1,56.0,4.42,4.4,2.74,854
0.7,Ideal,D,SI2,61.6,56.0,5.73,5.69,3.52,2384
0.55,Ideal,F,SI2,62.4,56.0,5.26,5.22,3.27,1263
0.37,Premium,E,VS1,60.4,58.0,4.66,4.61,2.8,1124
0.46,Ideal,H,VVS1,62.3,54.0,4.96,4.99,3.1,1227
1.0,Good,G,VS2,63.8,58.0,6.37,6.29,4.04,5242
1.06,Very Good,G,VS2,63.1,59.0,6.48,6.45,4.08,6325
0.73,Ideal,D,SI1,60.2,56.0,5.86,5.94,3.55,2632
0.34,Ideal,D,VS2,60.8,57.0,4.52,4.56,2.76,730
0.42,Premium,F,VVS2,59.6,59.0,4.83,4.86,2.89,1142
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,2828
0.31,Ideal,H,VS1,62.0,54.0,4.35,4.39,2.71,544
0.31,Very Good,E,SI1,63.4,55.0,4.32,4.29,2.73,698
0.77,Very Good,G,VS1,61.1,54.0,5.91,5.94,3.62,3197
0.35,Premium,H,VS1,61.3,59.0,4.57,4.54,2.79,788
1.02,Good,F,SI1,64.3,58.0,6.28,6.32,4.05,4936
1.01,Premium,F,SI2,62.2,57.0,6.43,6.36,3.98,4796
1.5,Good,H,SI1,57.9,62.0,7.55,7.48,4.35,9324
1.18,Fair,D,SI2,57.0,66.0,6.96,6.91,3.98,3899
1.56,Ideal,F,SI1,61.2,57.0,7.48,7.52,4.59,11047
0.73,Ideal,E,SI2,60.9,57.0,5.8,5.83,3.54,2559
1.21,Ideal,J,VS1,62.3,55.0,6.86,6.81,4.26,5421
0.42,Ideal,E,VS2,62.1,56.0,4.8,4.77,2.97,1024
0.23,Very Good,E,VVS1,61.0,58.0,3.99,4.01,2.44,485
0.53,Ideal,G,VS2,61.2,56.0,5.19,5.22,3.19,1577
0.87,Very Good,J,SI1,61.4,57.0,6.14,6.17,3.78,2300
0.58,Ideal,D,SI2,61.2,57.0,5.36,5.4,3.29,1342
1.52,Premium,E,VS1,60.1,59.0,7.49,7.45,4.49,16187
1.01,Premium,H,SI1,63.0,60.0,6.36,6.33,4.0,4642
0.91,Very Good,E,SI1,62.3,59.0,6.18,6.21,3.86,4914
0.4,Premium,D,VS2,61.7,59.0,4.72,4.75,2.92,982
1.52,Premium,I,VS2,61.7,61.0,7.35,7.3,4.52,6793
0.54,Ideal,D,VVS2,61.3,56.0,5.22,5.26,3.21,2671
1.26,Ideal,E,SI2,62.4,57.0,6.91,6.85,4.29,4939
1.53,Premium,H,VS1,60.8,59.0,7.41,7.36,4.49,11413
0.8,Very Good,F,SI1,63.5,55.0,5.86,5.89,3.73,2914
1.51,Good,I,SI1,63.9,59.0,7.26,7.18,4.61,9234
1.26,Premium,I,VS2,62.4,58.0,6.88,6.94,4.31,6023
1.12,Premium,H,SI1,62.0,56.0,6.69,6.59,4.13,4572
0.71,Premium,F,VS1,59.1,59.0,5.88,5.83,3.46,2920
1.5,Premium,F,VS1,60.2,59.0,7.41,7.37,4.45,16783
0.91,Very Good,H,SI2,63.3,58.0,6.11,6.06,3.85,3756
0.5,Very Good,F,VS2,62.7,56.0,5.04,5.07,3.17,1396
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,4899
2.11,Premium,G,SI1,61.6,59.0,8.24,8.19,5.06,17816
0.38,Premium,G,SI1,60.0,60.0,4.65,4.72,2.81,666
0.53,Very Good,E,SI1,63.6,57.0,5.12,5.16,3.27,1432
0.53,Premium,D,SI1,61.4,57.0,5.26,5.2,3.21,1753
1.0,Very Good,G,VS2,63.3,58.0,6.39,6.27,4.01,6048
1.02,Premium,H,SI1,61.9,61.0,6.42,6.34,3.95,4558
1.51,Fair,G,I1,65.6,54.0,7.28,7.1,4.72,4167
0.71,Premium,I,SI2,62.1,58.0,5.7,5.67,3.53,1696
1.76,Ideal,I,SI2,61.2,55.0,7.79,7.76,4.76,9714
0.4,Very Good,E,SI2,63.1,57.0,4.72,4.7,2.97,798
0.52,Ideal,D,VS2,62.2,56.0,5.16,5.13,3.2,1919
0.42,Ideal,I,IF,62.1,54.0,4.82,4.84,3.0,961
1.38,Ideal,G,VVS1,61.8,56.0,7.15,7.12,4.41,13250
0.7,Fair,H,I1,62.1,66.0,5.56,5.52,3.44,1138
0.33,Premium,H,VS2,62.4,58.0,4.42,4.39,2.75,668
0.4,Ideal,D,VS1,62.3,54.0,4.7,4.74,2.94,1064
0.54,Ideal,F,VS1,61.8,54.0,5.24,5.27,3.25,1724
0.27,Very Good,E,VVS1,59.9,57.0,4.23,4.25,2.54,620
0.5,Good,E,VS1,61.0,61.0,5.07,5.12,3.11,1714
0.72,Fair,D,VS2,65.4,56.0,5.68,5.6,3.69,2414
0.32,Ideal,G,VS2,61.8,55.0,4.4,4.43,2.73,564
0.31,Ideal,F,VS1,62.1,56.0,4.35,4.32,2.69,872
